id_r,cue,resp_1,resp_2,resp_3,incorrect,gpt-oss:120b
203848,betrunken,WORD,ekeln,krank,taaumeln,taumeln
203873,Tabu,WORD,NA,NA,Nicht darüber dprechen,Nicht darüber sprechen
203881,gelb,WORD,meine Lieblingsfarbe,NA,frõhlich,fröhlich
203882,spießig,WORD,kleinkariert,NA,kleinbürgetlich,kleinbürgerlich
203884,orange,WORD,sommerlich,NA,fruchtig,fruchtig
203989,Lebensunterhalt,WORD,Versicherung,Arbeitslohn,Gekd,Geld
203999,Zelt,WORD,NA,NA,champing,Camping
204025,verwandt,WORD,Zusammenhalt,Streit,Famile,Familie
204029,Grammatik,WORD,nicht leicht,falsch,notwenig,notwendig
204076,gesundheitlich,WORD,gesehen,Ferien,Geht's dir gut,Geht's dir gut
204160,Befreiung,WORD,Apartheit,Gefangenschaft,Martin Luther king,Martin Luther King
204217,Geborgenheit,WORD,schön,NA,Kuschelig,Kuschelig
204275,Zwang,WORD,nicht verdrängbar,NA,unwiederstehlich,unwiderstehlich
204276,Umweltschutz,WORD,überleben,Natur,Drigend,dringend
204321,Mitleid,WORD,Hilfe,Träne,"Schulter, drücken",Schulter
204503,Dunkelheit,WORD,Winter,Kaminfeuer,Kuschelig,Kuschelig
204524,Chancen,WORD,Optionen,NA,moglichkeiten,Möglichkeiten
204644,Jugendliche,WORD,Party,Spaß,Teenies,Teenies
204653,unentschlossen,WORD,Unsicher,Zögern,*Zweifel,Zweifel
204692,prima,WORD,NA,NA,s il per,super
204790,Design,WORD,schön,NA,schln,schön
204876,Onkel,WORD,Spaß,lustig,feund,Freund
204892,Insekt,WORD,Krabbeln,Spinnenbeine,igitt,igitt
204944,Käfer,WORD,Wald,Insekt,Hirschhornkäfer,Hirschhornkäfer
205010,Schnecke,WORD,Garten,NA,Eckelig,Eckelig
205103,Chemie,WORD,Gift,nicht nachhaltig,"substanzen, künstlich","Substanzen, künstlich"
205167,Nazi,WORD,Judenverfolgung,Hitler,engsternig,engstirnig
205186,Klang,WORD,Gong,schön,"Musik,",Musik
205195,wenden,WORD,Die Wende 1990,Navi,Omlett,Omelett
205278,mutig,WORD,angst,SELBSTBEWUSST,kranftvoll,kraftvoll
205286,Jura,WORD,Grundlage,Grundgesetz,Rechskunde,Rechtskunde
205294,Anleitung,WORD,Hilfe,NA,lerben,lernen
205394,Optimierung,WORD,kalt,Technik,zweckorientiert,zweckorientiert
205504,autonom,WORD,Abgeschottet,NA,Selbststtändig,Selbstständig
205506,hässlich,WORD,Pickel,Ich,Entlein,Entlein
205524,Brunnen,WORD,Wasser,Leben,Frau Holle,Frau Holle
205558,entspannen,WORD,Couch,Fernsehen,nix tun,nix tun
205636,Mut,WORD,Veränderungen,Stärke,Entscheidungsfreudig,Entscheidungsfreudig
205754,Leidenschaft,WORD,Schmerzen,Angst,Enteuschung,Enttäuschung
205761,Stein,WORD,Mauer,NA,Stonehedge,Stonehenge
205859,Wettkampf,WORD,Sport,NA,Bixen,Boxen
205861,ruhig,WORD,alleine,NA,fruedlich,freundlich
205863,Aggression,WORD,unfait,NA,Feundlich,freundlich
205865,Faust,WORD,Boxen,NA,Giethe,Gieße
205868,draußen,WORD,frei,NA,Kuft,Luft
206035,Bücher,WORD,"Lernen, Schule, Arbeit,","Imagination, Freiheit","Lesen, Abenteuer, Kopfkino, Spannung, Wissen, Geschichte usw","Lesen, Abenteuer, Kopfkino, Spannung, Wissen, Geschichte usw"
206193,klettern,WORD,NA,NA,kraxeln Wand Seil,krabbeln
206207,Deckel,WORD,NA,NA,Tof,Topf
206209,Plagiat,WORD,unschön,NA,Distahl,Diebstahl
206219,Medikamente,WORD,NA,NA,Krankeit,Krankheit
206300,Milieu,WORD,Gesellschaft,Umwelt,Ungebung,Umgebung
206369,Optimierung,WORD,Trend,immer besser,Selbtoptimierer,Selbstoptimierer
206381,Vorfall,WORD,NA,NA,Ereigniss,Ereignis
206412,Kabel,WORD,Verbindung,Strom,Eletritzität,Elektrizität
206458,ziellos,WORD,NA,NA,langweilich,langweilig
206481,Akzeptanz,WORD,Empathie,notwendig,Herzenswärme,Herzenswärme
206562,minimal,WORD,Klein,Wenig,Mindestes,Mindestens
206602,hilfreich,WORD,angstfrei,NA,sympatisch,sympathisch
206717,anfassen,WORD,Dinge,Haptisch,grapschen,grapschen
206749,Kleidungsstück,WORD,Hose,TShirt,Ho See 3,Hose
206769,putzen,WORD,langweilig,reinigen,saubermachen,saubermachen
206810,komisch,WORD,merkwürdig,bizarr,seltsm,seltsam
206862,Tonne,WORD,Regen,Öl,kloppen,klopfen
206873,still,WORD,Nacht,Ruhe,rihig,Ruhig
206876,Kreisel,WORD,Spielzeug,bunt,Dilldopp,Dreidel
206927,ungern,WORD,ekel,abwenden,bäh,bäh
207008,Ahnen,WORD,Ursprung,Herkunft,Fanilie,Familie
207012,Raupe,WORD,Garten,Gemüse,Schmetterlung,Schmetterling
207046,meins,WORD,Findet Nemo,NA,deins,WORD
207086,Nachbar,WORD,Blume,NA,Lãrm,Lärm
207088,versagen,WORD,NA,NA,Prūfung,Prüfung
207089,mächtig,WORD,NA,NA,Kônnen,Können
207172,ungenau,WORD,macht nichts,kreativ,igitt,igitt
207270,stechen,WORD,Aua,NA,Pieksen,Pieksen
207487,E-Mail,WORD,NA,NA,checken,checken
207584,Sekte,WORD,Religionsgemeinschaft,Glaubensgemeinschaft,Verschwörungsgemeinschaft,Verschwörungsgemeinschaft
207585,mutig,WORD,couragiert,risikofreudig,coragiert,couragiert
207590,Autos,WORD,Statussymbol,Umweltproblem,Fortbewegungsmittel,Fortbewegungsmittel
207742,Nachbar,WORD,nett,Hunde,Parkpöatz,Parkplatz
207745,Karte,WORD,Ziel,NA,ankommem,Ankommen
207755,Sekte,WORD,Gehirnwäsche,NA,Zeugen Jehovas,Zeugen Jehovas
207820,sauber,WORD,waschen,rein,satt udn auber,satt und sauber
207823,herum,WORD,dazugehörend,Anhängsel,drum herum,drum herum
207827,Aufbruch,WORD,Veränderung zulassen,anpacken,neus wagen,Neues wagen
207927,leer,WORD,kaufen,NA,voĺl,voll
207941,Abenteuer,WORD,Wildnis,Erlebnis,Expeditiom,Expedition
207944,Spiele,WORD,Zeitvertreib,Geselligkeit,Untrrhaltung,Unterhaltung
207954,Kräuter,WORD,Duft,Würze,Gartrn,Garten
207990,Bahn,WORD,Preis,Enge,Ruckeln,Ruckeln
208009,meins,WORD,NA,NA,deins,deins
208076,vorkommen,WORD,passieren,vorstellen,Eexistieren,Existieren
208098,Raubtier,WORD,Schönheit,Nahrungskette,Gefähr,Gefahr
208188,Baustelle,WORD,Stau,notwendig,Störun,Störung
208235,intakt,WORD,vollständig,ganz,unkastriert,intakt
208278,ungesund,WORD,Süßigkeiten,Sitzen,Fast food,Fast food
208282,Hierarchie,WORD,Struktur,Bürokratie,Authorität,Autorität
208292,Kurve,WORD,Straße,Mathematik,abgerunded,abgerundet
208335,Skandal,WORD,NA,Minister,"Politik, Partei,",Politik
208336,aufbauen,WORD,Städte,Kontakte,Orfanisationen,Organisationen
208370,Abfall,WORD,vermeiden,NA,trash hero,trash hero
208394,saftig,WORD,vitaminreich,Obst,fruchtig,fruchtig
208405,respektvoll,WORD,NA,NA,höflichc,höflich
208444,Mozart,WORD,Barock,Kastraten,Sallzburg,Salzburg
208514,Leiche,WORD,Wasserleiche,Blindsch-leiche,Moorleichr,Moorleiche
208548,Verbrechen,WORD,Mord,Gesetz,Dienstahl,Diebstahl
208625,zufrieden,WORD,Gesund,Frieden,Glcklich,Glücklich
208633,Gewehr,WORD,Knall,Jagd,Pistolo,Pistole
208634,Gummi,WORD,Geschlechtsverkehr,Kondom,Náhen,Nähen
208660,Schlag,WORD,verletzlich,Boden,scmerz,Schmerz
208773,hinterlassen,WORD,uninteressant,keine Zeit,Faulheint,Faulheit
208847,Harmonie,WORD,Musik,Zufrieden,Zweisamkeit,Zweisamkeit
208867,Statistik,WORD,NA,NA,Diagram,Diagramm
208913,Kindheit,WORD,Sommer,Sonne,Unbesorgtheit,Unbesorgtheit
208985,Onkel,WORD,Missbrauch (präventiv pädagogik),NA,Verwandschaft,Verwandtschaft
209047,Reife,WORD,Matura,erwachsen werden,Früchte/Gemüse,Früchte
209108,faul,WORD,arbeitslos,schlafen,rumhängen,rumhängen
209133,Gehalt,WORD,genug,Erhöhung,monatserster,Monatsanfang
209140,Strafe,WORD,warum,reden,oweia,oweia
209143,Restaurant,WORD,gemütlich,gemeinsamessen,hm lecker,hm lecker
209265,Minimum,WORD,Unterkante,Kleinstes,Maximun,Maximum
209277,Kiosk,WORD,Pommes,Freibad,süsigkeiten,Süßigkeiten
209367,Fabel,WORD,Geschichte,NA,De la Fontaine,De la Fontaine
209368,Kummer,WORD,Trauer,NA,Traänen,Traänen
209555,Bilder,WORD,Paris,Rom,Marc chagall,Marc Chagall
209583,Narbe,WORD,Harry Potter,Haut,Schmeru,Schmerz
209585,ungesund,WORD,Krankheit,Zucker,Fast Food,Fast Food
209646,Wetter,WORD,NA,NA,Sonnw,Sonne
209652,HIV,WORD,Philadelphia,schmal,Klaus nuomi,Klaus Nomi
209669,respektvoll,WORD,hofflich,nett,ehrluch,ehrlich
209677,Test,WORD,Fehler beheben,NA,prufung,Prüfung
209821,ehrenamtlich,WORD,Hilfe,NA,volonter,Volunteer
209823,Rede,WORD,Laut,NA,Speach,Speech
209916,naiv,WORD,NA,NA,treudoof,treu doof
209926,Pirat,WORD,Piratenhut,Meer,furchteinflößend,furchteinflößend
209944,Friedhof,WORD,Trauer,Frieden,Traier,Trauer
210081,Optimierung,WORD,besser,NA,procezz,Prozess
210100,Wolken,WORD,dunkel,NA,Fluffig,Fluffig
210101,Zuhause,WORD,warm,NA,Geborgenkeit,Geborgenkeit
210107,süß,WORD,NA,NA,Bäckware,Backware
210110,Medien,WORD,"Facebook, Instagram, Twitter",Beeinflussung,"Zeitung, Radio, TV","Zeitung, Radio, TV"
210196,überzeugen,WORD,NA,NA,Gratispribe,Gratisprobe
210214,Kater,WORD,kastriert,Miau,rotgetigert,rotgetigert
210288,Schrei,WORD,laut,NA,Edvard Munch,Edvard Munch
210389,Nahrung,WORD,Lebensmittel,Mahlzeiz,Esseb,Essen
210421,Leinwand,WORD,malen,Bilder,Kijo,Kino
210444,Gauner,WORD,Dieb,Strafe,gewieft,gewieft
210478,blind,WORD,nichts sehen,NA,schlimmm,schlimm
210590,ausreichend,WORD,NA,NA,genügernd,genügend
210621,Mobbing,WORD,Bullying,Schule,Pszichoterror,Psychoterror
210623,fangen,WORD,Fangspiele,Bewegung,Catch me if you can,Catch me if you can
210629,Erotik,WORD,Spiel für Erwachsene,Film,18+,18+
210709,Genie,WORD,IQ,Wissenschaftler,Klugkeit,Klugheit
210771,Thron,WORD,Kaiser:in,prächtig,König:in,König:in
210779,Ampel,WORD,Kreuzung,Sicherheit,"Rot, gelb, grün","Rot, gelb, grün"
210831,Neugier,WORD,Kindheit,NA,Curious,Curious
210844,springen,WORD,Freude,hoch,hupfen,hupfen
210909,wachsen,WORD,waschen,schrumpfen,"kerze, blume, sonne",kerze
210927,Krone,WORD,"Adel, blaues Blut",Geld und Gut,"Macht, herrschen,",Macht
210936,Gewicht,WORD,Nachdruck,Waage,zuviel,zu viel
210937,Niveau,WORD,Abstand,NA,Herzvoll,Herzvoll
210973,funktionieren,WORD,NA,NA,elektogerät,Elektrogerät
211028,Streik,WORD,Müllabfuhr,Politik,Arbeti,Arbeit
211155,Haare,WORD,Glatze,lang,Perrücke,Perücke
211187,Schriftsteller,WORD,NA,NA,Noah Gordon,Noah Gordon
211287,See,WORD,Sommer,Strand,Segelboat,Segelboot
211294,Wind,WORD,Flughzeug,Wetter,Segelboat,Segelboot
211296,Umweg,WORD,Bauen,Fahren,Strasseschaden,Straßenschaden
211378,verwirklichen,WORD,Hoffnung,NA,kämfen,kämpfen
211489,Abbild,WORD,schön,alte Gemälde,Selbstpoträt,Selbstporträt
211514,Waffen,WORD,Jagd,Afghanistan,trupm,Trupp
211575,Bio,WORD,Obst,Gemüse,"gesund, Obst, Gemüse",gesund
211576,Thron,WORD,Sieger,Herrscher,Kõnig,König
211613,Baltikum,WORD,Estland,Ostsee,Littauen,Litauen
211803,Äpfel,WORD,Apfelkuchen,gesund,Applcrumble,Apple crumble
211807,Sieger,WORD,gewonnen,preis,rennne,Rennen
211896,Finale,WORD,Fußball,Turnier,Sporrt,Sport
211924,kochen,WORD,Küche,Pfanne,easen,Essen
212057,scheu,WORD,Still,unauffällig,Zurückhaltenf,Zurückhaltung
212074,altmodisch,WORD,alter,SPIESSIG,Old school,Old school
212176,Wohlbefinden,WORD,Gesundheit,Lebensfreude,gutsein,Gutes Sein
212354,Herde,WORD,Ziegen,Lemminge,Schaafe,Schafe
212419,leise,WORD,Ruhig,NA,Psst,Psst
212425,Kirsche,WORD,Kerne,Sommer,Kirschenschmarren,Kirschschmarrn
212596,lügen,WORD,Notlügen,kurze Beine,iiih,WORD
212617,immer,WORD,NA,NA,langeweilen,langweilen
212618,speziell,WORD,NA,NA,anbietung,Anbietung
212690,nur,WORD,wenig,kaum,einbisschen,ein bisschen
212743,Handy,WORD,Kontakte,Nachrichten,Konnektion,Verbindung
212746,Kriminalität,WORD,Tod,NA,"Verbrechen,",Verbrechen
212751,aufräumen,WORD,NA,NA,Ordung,Ordnung
212760,Schnee,WORD,Kristalle,Knirschen der Schuhe,"Glitzern,",Glitzern
212768,Vorsicht,WORD,Straße,Glas,Mutter der Pozellankiste,Mutter der Pozellankiste
212854,beraten,WORD,Ratschlag,NA,Goldmann Sachs,Goldman Sachs
212862,friedvoll,WORD,Landschaft,Ruhe,Friedhif,Friedhof
213017,Mikrofon,WORD,Streaming Setup,Corona,XRL-Kabel,XLR-Kabel
213066,arbeitslos,WORD,arm,Depression,oje,oje
213068,Pelz,WORD,totes Tier,teuer,kuschelig,kuschelig
213262,Zähne,WORD,Zahnfee,Biss,Zahnartzt,Zahnarzt
213315,Freundin,WORD,Frau,Partner,Fraz,Frau
213377,Balance,WORD,NA,NA,Balancepad,Balancepad
213420,meins,WORD,1 2 3,haben,deins,deins
213447,versorgen,WORD,helfen,ernähren,betüddeln,betäuben
213492,Tempo,WORD,Tempo ordninario,Temporelationen,Tempus perfectum,Tempus perfectum
213510,Segel,WORD,Leinen,Wind,Voot,Boot
213665,Anwalt,WORD,Willkür,Recht,Abzocke,Abzocke
213739,geheim,WORD,geheimniss,NA,secrer,secret
213745,Manege,WORD,hoch,NA,spaas,Spaß
213752,Melone,WORD,NA,NA,obat,Obst
213757,Bronze,WORD,Anerkennung,Erfolg,Olymiade,Olympiade
213787,soviel,WORD,äquivalent,soweit,sowenig,so viel
213824,stimmt,WORD,NA,NA,Genah,Genau
213864,Ausstieg,WORD,Mut,Veränderung,runterkommen,runterkommen
213886,Zufall,WORD,unerhofft,unsicher,unvorsehen,unvorhergesehen
213890,Ärger,WORD,Beleidigung,Rache,bestürztheit,Bestürztheit
213917,Engel,WORD,manche Menschen,NA,gibt's,gibt es
213933,Gedicht,WORD,Schule,Liebe,Goehte,Goethe
213936,alle,WORD,Demokratie,Wahl,Geselschaft,Gesellschaft
213942,schrill,WORD,Straße,Kind,Larm,Lärm
213946,spalten,WORD,NA,NA,Geselschaften,Gesellschaften
213964,Oma,WORD,Familie,Erinnerungen,verwandschaft,Verwandtschaft
214004,Kapitalismus,WORD,NA,NA,Survival of the fittest,Survival of the fittest
214066,Papa,WORD,NA,NA,Mistkerl,Mistkerl
214138,Bedarf,WORD,Lieferung,Lebensmittel,Rohstof,Rohstoff
214172,Stich,WORD,Nähmaschine,NA,Nähenp,Nähen
214173,Strom,WORD,NA,NA,Elektrezität,Elektrizität
214191,Genauigkeit,WORD,NA,NA,Pingelich,pingelig
214295,Gift,WORD,Tod,Pflanze,Englisch“ Geschenk“,gift
214318,Dame,WORD,Brettspiel,NA,Distinguierte Frau,Distinguierte Frau
214415,Verteidigung,WORD,Soldaten,Minister,Millitär,Militär
214488,putzen,WORD,scheuern,saugen,bäh,bürsten
214609,Schokolade,WORD,Süßigkeit,NA,Naschzeug,Naschzeug
214668,Begabung,WORD,magisch,mental,musikalisxh,musikalisch
214670,erwerben,WORD,Haus,Fähigkeit,kaufrn,kaufen
214689,Wohnzimmer,WORD,Teppich,NA,rumhängen,rumhängen
214708,Serie,WORD,Babylon Berlin,Sucht,Greys Anatomy,Grey's Anatomy
215073,zögern,WORD,beobachten,warten,zauden,zaudern
215088,hell,WORD,Sonne,Licht,atag,Tag
215101,Bio,WORD,Tierwohl,NA,Gesumd,gesund
215161,Vulkan,WORD,Ausbruch,fürchterlich,Vezuv,Vesuv
215259,speziell,WORD,NA,NA,Luna Lovegood,Luna Lovegood
215275,Zopf,WORD,NA,NA,Hefegebäck,Hefegebäck
215417,Gewerkschaft,WORD,Arbeitgeber,Betriebsrat,VINCI,Verdi
215433,traurig,WORD,Trost,Trauer,Träneb,Träne
215434,Jura,WORD,Staatsexamen,Arroganz,Studiun,Studium
215487,umfassend,WORD,allgemein,Gott,all-inclusive,all-inclusive
215489,rein,WORD,pur,Religion,nicht schmützig,nicht schmutzig
215504,Becher,WORD,groß,lustig,teinken,Trinken
215514,Kosmetik,WORD,unnötig,manchmal,zuviel,zu viel
215568,Malerei,WORD,Kunst,aussdrucksform,van gogh,Van Gogh
215685,Sekte,WORD,Schwurbeln,NA,versrötend,versprödend
215769,zu Hause,WORD,Glück,Familie,Safe place,Safe place
215773,Währung,WORD,Wechselkurs,Börse,mmf,mmf
215775,Diktatur,WORD,Terror,Unterdrückung,chaucesco,Chaos
215878,Ungeduld,WORD,NA,NA,Impatience,Impatience
215970,überall,WORD,abdeckend,weltweit,everywhere,überall
216010,Charme,WORD,Flirten,Strahlen,Freundlivh,Freundlich
216070,hässlich,WORD,Pickel,Furunkel,Entlein,Entlein
216081,Abwehr,WORD,Vergewaltigung,Frauen-Selbstverteidigung,Gangstet,Gangster
216090,Schriftsteller,WORD,Sachbücher,Krimis,Lieblingautor,Lieblingsautor
216097,Kapitalismus,WORD,Multinationale,Geld,Leberale,Liberale
216109,Resultat,WORD,Gute,Schlechte,Ergebniss,Ergebnis
216189,Mine,WORD,Erz,Bitcoin,gild,Gold
216205,braun,WORD,NA,NA,örgs,Erde
216519,Familienmitglieder,WORD,Eltern,Kinder,Verwandschaft,Verwandtschaft
216577,Lotto,WORD,Za,Zahlen,Geqinn,Gewinn
216604,verbinden,WORD,sich einlassen,kleben,Halt geven,Halt geben
216684,meins,WORD,haben,genießen,deins,deins
216713,unentschlossen,WORD,vielleicht,NA,keinr Ahnung,keine Ahnung
216814,Pulver,WORD,Schießpulver,Puder,Talkzm,Talkum
216846,Sahne,WORD,NA,NA,bäh,bäh
216857,hässlich,WORD,Pickel,abstoßend,ungestalt,Ungestalt
216991,außergewöhnlich,WORD,extravagant,besonders,Liga der AUSSERGEWÖHNLICHEN Gentlement,Liga der außergewöhnlichen Gentlemen
217126,dankbar,WORD,drinkbar,Bar,thks,thanks
217130,Pflaster,WORD,Gasse,Apotheke,Wehwehchen,Wehwehchen
217225,erwerben,WORD,Schmuck,Auszeichnung,Hqaus,Haus
217287,Seil,WORD,Gespannt,Berghang,Balanzieren,Balancieren
217290,Aufwand,WORD,Mühe,lohnt sich,Effort,Effort
217320,Ernte,WORD,Bibel,Feld,Dank / Erntedank,Erntedank
217393,Busen,WORD,Brust,Sinnlich,Weblich,Weiblich
217532,Geschenk,WORD,NA,NA,da freuoch moch,da freu ich mich
217533,überall,WORD,NA,NA,niergendwo,nirgendwo
217626,Tierschutz,WORD,Respekt,NA,Artgerechte Haltung,Artgerechte Haltung
217637,Ehrlichkeit,WORD,Vertrauen,Freunschaft,zuverläsdig,zuverlässig
217767,Chancen,WORD,Ziel,Zufriedenheit,"Zukunft,",Zukunft
217768,stilvoll,WORD,Bekleidung,Wohnen,"Geschmack, Einrichtung, Wohlgefühl",Geschmack
217826,Neugier,WORD,Beobachtung,Aufmerksamkeit,wunderig,wunderlich
217835,Glocke,WORD,Glöckner,glockig,Glöckhen,Glöckchen
217843,Freizeit,WORD,Arbeit,Pferd,hoppy,Hobby
217855,Fragezeichen,WORD,Frage,unbeantwortet,Aufrufezeichen,Ausrufezeichen
217897,staunen,WORD,aufmerksam,Kinder,große Augwn,große Augen
217907,Milieu,WORD,Polizei,Rotlicht,verrucht,verrucht
217951,egal,WORD,NA,NA,wurscht,wurscht
218007,Gefängnis,WORD,Freiheit,Leute,polisman,Polizist
218013,Beichte,WORD,glauben,Kirmes,religiq,Religion
218043,Schreck,WORD,Streich,Überraschung,Pulsbeschleunigung,Pulsbeschleunigung
218072,besonders,WORD,toll,eingebildet,speziel,speziell
218224,langweilig,WORD,NA,NA,rumsitzen,rumsitzen
218359,Blasinstrument,WORD,Tuba,NA,tropmpete,Trompete
218404,Bundestag,WORD,Unehrlich,Eigenbutzrn,Oolitiker,Politiker
218421,ungesund,WORD,Diabetis,Krankheiten,Fast food,Fast food
218423,meins,WORD,Känguru Chroniken,Pronomen,Deins,Deins
218458,Schwert,WORD,Ritter,Tafelrunde,Exkalibur,Excalibur
218506,pflegen,WORD,Verantwortung,Hilfsbereitschaft,Führsorge,Fürsorge
218612,Klang,WORD,Ton,Musik,akkustik,Akustik
218624,Besteck,WORD,Operation,Skalpell,"Messer, Gabel, Löffel","Messer, Gabel, Löffel"
218641,Statistik,WORD,Rechner,Unwichtig,Komplozieet,Komplexität
218669,unklar,WORD,trüb,Fragen,difus,diffus
218753,Design,WORD,wunderbar,NA,arkitekt,Architekt
218837,Tonne,WORD,NA,NA,kloppen,klopfen
218886,ja,WORD,Zustimmung,Danke,Einverständniss,Einverständnis
218910,Vergehen,WORD,Gericht,Vergebung,Straftatat,Straftat
218964,Gleichberechtigung,WORD,Frau,Mann,Equalität,Egalität
219003,Sieger,WORD,Freude,Kranz,erste/r,Erster
219011,autonom,WORD,NA,NA,Lamd,Lamm
219061,Schwester,WORD,Liebe,Verständnis,Famile,Familie
219086,Verspätung,WORD,verraten,Problem,Nervose,nervös
219092,Selbstbestimmung,WORD,Unabhenikeit,NA,Freicheit,Freiheit
219094,loben,WORD,NA,NA,Gut gefull,Gut gefüllt
219097,Bonbon,WORD,NA,NA,Zuker,Zucker
219163,liberal,WORD,Empathie,Freiheit,offensein,offen sein
219166,asozial,WORD,nicht in der Gruppe,unter dem Radar,Aussenstehend,außenstehend
219234,nicken,WORD,NA,NA,zustimnen,zustimmen
219532,Schrei,WORD,laut,NA,edvard munch,Edvard Munch
219534,Enkelkinder,WORD,NA,NA,kleinkinderen - Übersetzung ins NL,Kleinkinderen
219636,Pfanne,WORD,Herd,Hitze,esssen,essen
219647,Option,WORD,Wahl,NA,Moglichkeit,Möglichkeit
219741,Traktor,WORD,Bauer,Landwirtschaft,Träcker,Traktor
220032,verboten,WORD,NA,NA,Vorschrieften,Vorschriften
220216,Mord,WORD,Soko,Polizei,Agatha Christie,Agatha Christie
220349,Vielfalt,WORD,bunt,schön,interressant,interessant
220362,Optimist,WORD,positiv,handlungsfähig,halbvolles Glas,halbvolles Glas
220420,blau,WORD,Blau machen,Färberwaid,feeling blue,feeling blue
220429,Fett,WORD,NA,NA,Zuviel,zu viel
220450,Asyl,WORD,Chance,Toleranz,sprachcafe,Sprachcafé
220508,Ohren,WORD,klein,NA,mickey mouse,Mickey Mouse
220541,miteinander,WORD,Hilfe,sprechen,spielne,spielen
220551,Schokolade,WORD,Kuchen,Süßigkeit,Mich3,Milch
220565,Gedanken,WORD,gute und schlechte,Idee,gedankenblasr,Gedankenblase
220567,Chaos,WORD,aufräumen,Physik,big bang,Big Bang
220573,Beichte,WORD,Pfarrwr,Beichtstuhl,Kircjr,Kirche
220655,Hass,WORD,Gemein,ungerecht,wehtuhend,wütend
220661,reisen,WORD,neue Erfahrungen,andere Kulturen,Abendteuer,Abenteuer
220703,nervig,WORD,Situation,Arbeit,stresig,stressig
220704,Verdacht,WORD,Detektiv,Motiv,Tater,Täter
220733,Ei,WORD,Hühner,Massenzucht,unvegan,unvegan
220873,Blitz,WORD,gelb,Elektrizität,zaxkig,zackig
220888,Banken,WORD,Kredit,Geldhaie,Geldgrschäfte,Geldgeschäfte
220889,strebsam,WORD,Streber,Unbeliebt,Fleisig,Fleißig
220894,Korb,WORD,Baketball,Einkaufswagen,Bastkorb,Bastkorb
220905,normal,WORD,Blutwertgrenzen,Blutdruck,gibt's nicht,gibt es nicht
220947,illegal,WORD,schlechtes Gewissen,Angst,gesetzeswidrig,gesetzeswidrig
221024,Respekt,WORD,Anerkennung,Bewunderung,Achrung,Achtung
221082,Weihnachten,WORD,Geschenke,Familie,Weinachtsbaum,Weihnachtsbaum
221130,Papa,WORD,kraus,Och,lächen,lachen
221191,Ahnen,WORD,NA,NA,Mushu,Mushu
221316,Irre,WORD,wahnsinnig,Boah,supi,supi
221324,draußen,WORD,schön,frei,friscj,frisch
221330,einigermaßen,WORD,fast,geradeso,soso,soso
221392,Sekte,WORD,gefährlich,NA,syontology,Syontology
221436,stinken,WORD,waschen,Käse,müffeln,müffeln
221653,Experimente,WORD,NA,NA,"Knall, Peng, Puff",Knall
221752,Laune,WORD,Gefühl,Tagesform,Tempreament,Temperament
221767,annehmen,WORD,Erwarten,Geschenk,Aktzeptieren,Akzeptieren
221797,Urwald,WORD,Überbordende Natur,ursprünglich,costa rica,Costa Rica
221809,Rennen,WORD,Schulhof,"Wettrennen, Marathon",Autorennen (Formule 1),Autorennen (Formule 1)
221827,eben,WORD,gerade,genau,ebenmäßig,ebenmäßig
221861,Dialekt,WORD,Russisch,Transkarpatischen,Surshyk,Surzhyk
221978,Neubeginn,WORD,NA,NA,furchatmen,Durchatmen
222166,aufgeben,WORD,NA,NA,gibts nicht,gibt es nicht
222206,Marke,WORD,Hund,Tomatenmark :D,Addidas,Adidas
222303,Eifer,WORD,Schule,Sport,Ehrgeix,Ehrgeiz
222372,klettern,WORD,Bäume,Abenteuer,kraxeln,krabbeln
222392,Muskeln,WORD,Bewegung,Training,Muskelprotz,Muskelprotz
222528,zocken,WORD,Wucherer,betrügen,abzocken,abzocken
222593,Diener,WORD,Untertan,Sekretär,Vutler,Butler
222631,Hausaufgaben,WORD,Folter,Gefängnis,igitt,igitt
222684,Kopie,WORD,NA,NA,originak,original
222697,Bär,WORD,kuschelig,Stofftier,Grizzli,Grizzly
222701,prüfen,WORD,TÜV,Abitur,tedten,testen
222800,Kammer,WORD,Vorrat,dunkel,des Schreckens (Harry Potter),Kammer des Schreckens
222827,erledigen,WORD,Abarbeiten,Zufrieden,To do Liste,To-Do-Liste
222898,verdienen,WORD,Geld,NA,MIWA,MIWA
222920,Freizeit,WORD,relaxen,GENIESSEN,jaaaa,ja
222923,schön,WORD,NA,NA,ansehenswert,ansehenswert
223006,antworten,WORD,Wissen,NA,klugscheissen,klugscheißen
223041,Fee,WORD,NA,NA,"Nymphe,",Nymphe
223086,Säugetier,WORD,Entwicklung,Pelz/ Behaarung,warmblütig,warmblütig
223196,Medikamente,WORD,Medizin,Nebenwirkungen,Betablockef,Betablocker
223311,Diktatur,WORD,Rom,Stslin,untedrücken,unterdrücken
223367,versagen,WORD,Krankenheit,Unglück,etwas Schraekliches,etwas Schreckliches
223370,fromm,WORD,Ruhigkeit,Kirche,Religie,Religion
223373,verbringen,WORD,lustige Freunde,gute Laune,Feizeit,Freizeit
223375,Menschen,WORD,Familie,Freunde,freunflich,freundlich
223376,Emotion,WORD,Freude,Glück,Feude,Freude
223459,Treue,WORD,Verbindung,Verbundenheit,zweisamkeit,Zweisamkeit
223507,klug,WORD,Professor,Wissenschaftler,geschrit,gescheit
223509,Drama,WORD,Königin,MacBeth,Griiechen,Griechen
