id_r,cue,resp_1,resp_2,resp_3,incorrect,human_correction,llama4:latest,gpt-oss:120b
72771,Eigeninitiative,WORD,Ich-AG,Eigentum,Selbstvertauen,Selbstvertrauen,Selbstvertrauen,Selbstvertrauen
92244,Millionär,Geld,Yacht,WORD,trust Fund,trust fund,Trustfonds,trust Fund
143776,Stift,Kuli,Bleistift,WORD,schreibven,schreiben,Schreiben,schreiben
193695,Bühne,auftritt,singen,WORD,perfomance,Performance,Performance,Performance
75403,Biene,WORD,Honig,Königin,Feliß,Fleiß,Biene,Fleiß
267091,rein,sauber,WORD,steril,unverschmutzt,unverschmutzt,sauber,unverschmutzt
84723,Löwe,Mähne,brüllen,WORD,starm,stark,Stern,stark
315229,Weltraum,WORD,Sternen,Galaxie,Planete,Planet,Planete,Planet
283934,Tour,WORD,Tourist,tojour,de france,Tour de France,Frankreich,Tour de France
19412,Internet,WORD,e-mails,Seiten,World wide web,World Wide Web,World Wide Web,World wide web
215451,Egoismus,gnadenlos,ohne Kompromis,WORD,Selbstführsorge,Selbstfürsorge,Selbstfürsorge,Selbstfürsorge
383077,Obama,Präsident,man of color,WORD,Yes we can,yes we can,Obama,Yes we can
56123,klar,unklar,WORD,durchsichtig,Kloßbrühe,Kloßbrühe,Kloßbrühe,Kloßbrühe
346646,Vorgabe,WORD,Zielvorgabe,Zwang,Planerfüllun,Planerfüllung,Planerfüllung,Planerfüllung
347932,Mörtel,Lugner,WORD,NA,Mörtelmaschine,Mörtelmaschine,Mörtelmaschine,Mörtelmaschine
80745,Fremdwörter,Eloquent,Bildungsgrad,WORD,überschäzt,überschätzt,überschätzt,überschätzt
314490,seriös,anständig,WORD,Firma,Geschäftanlass,Geschäftsanlass,Geschäftsanlass,Geschäftsanlass
253086,Hohn,Spott,Gäme,WORD,Bishaftigkeit,Boshaftigkeit,Bisshaftigkeit,Bisshaftigkeit
75429,Lineal,Bleistift,WORD,Linie,geodreick,Geodreieck,Geodreieck,Geodreieck
234444,meins,WORD,NA,NA,deins,deins,deins,deins
115837,Straßenbahn,Gebimmel,Innenstadt,WORD,eiligt,eilig,Heiligt,eilig
8495,Heft,Schule,WORD,Hausaufgaben,liniert,liniert,liniert,liniert
380003,Hausaufgaben,Heft,schule,WORD,Pflichteen,Pflichten,Pflichten,Pflichten
224861,bezahlbar,preiswert,WORD,lohnend,Second Hand,Second-Hand,Secondhand,Secondhand
33838,Arbeiter,Maloche,Sozialismus,WORD,Geldverdienen,Geld verdienen,Geld verdienen,Geldverdienen
399087,sagen,Sage,WORD,reden,schrechen,sprechen,sagen,sprechen
391848,Vaterland,Heimat,WORD,leben,in demland,in dem Land,Deutschland,in dem Land
136126,Offizier,Hierarchie,WORD,Uniform,Millitär,Millitär,Militär,Militär
169440,Brechbohnen,WORD,grün,Garten,Igitt,igitt,Igitt,Igitt
131582,Mongolei,WORD,Steppe,Tartaren,Genghis Khan,Dschingis Khan,Mongolei,Genghis Khan
344606,Diktator,WORD,Nord Korea,Absolutismus,Gadafi,Gaddafi,Gaddafi,Gaddafi
142667,Zettel,Papier,WORD,Bleistift,Notitz,Notiz,Notiz,Notiz
184745,wohlfühlen,Warm,WORD,NA,Kuschlig,Kuschlig,Kuschlig,kuschelig
137040,kostenlos,WORD,NA,NA,Open source,Open Source,Open-Source,Open source
314166,Knall,Unfall,WORD,Gerausch,Larm,Lärm,Lärm,Alarm
119759,Pakistan,WORD,Flucht,AlQuaida,Bin Ladn,Bin Laden,Bin Laden,Bin Laden
250491,Schnecke,Haus,WORD,zwittrig,Kringel,Kringel,Schnecke,Kringel
104718,Umwandlung,Veränderung,WORD,Aufgabe der bisherigen Posizion,Kleiner/Grösser machen,kleiner machen,Vergrößern/Verkleinern,kleiner/größer machen
261782,Frucht,WORD,Nektarine,NA,pfirsisch,Pfirsich,Pfirsich,Pfirsich
262739,Busen,Brust,Geschlechtsorgan,WORD,(weibliches) Geschlechtsmerkmal,weibliches Geschlechtsmerkmal,Brust,weibliches Geschlechtsmerkmal
172864,aufgeregt,WORD,Prüfung,Ärgernis,veriebt,verliebt,verliebt,verliebt
233764,Spontan,uneingeübt,kindlich,WORD,Bsuchgefühl,Bauchgefühl,Unbewusst,Bauchgefühl
248731,Nase,Mund,WORD,Augen,schnäutzen,schnäuzen,Schnauze,schnäuzen
341730,Werkzeugkasten,WORD,schwer,Zange,Reperatur,Reparatur,Reparatur,Reparatur
107452,extrovertiert,laut,WORD,außen,ausse,außen,außen,außen
47582,ausdrücklich,genau,WORD,befehlen,hinweißen,hinweisen,Hinweis,hinweisen
288098,nirgendwo,Nimmerland,kein Ort,WORD,Ortlos,ortlos,Ortlos,Ortlos
77032,Eigenschaften,Tugenden,wichtige Wortart,WORD,einschätzungskriterium,Einschätzungskriterium,Einschätzungskriterium,Einschätzungskriterium
14861,sollen,wollen,müssen,WORD,Soln,sollen,Sollten,sollen
100364,Südkorea,weltoffen,WORD,Asien,ergeizig,ehrgeizig,ambizios,ehrgeizig
343870,Nachmittag,Tageszeit,Schlaf,WORD,apojewma (griechisch),απόγευμα,Nachmittag,Apogevma
351483,Lücke,Mut zur,WORD,NA,Theaterstück „Die Lücke“,Theaterstück „Die Lücke“,"Theaterstück ""Die Lücke""",Theaterstück „Die Lücke“
165853,unterdrücken,WORD,NA,NA,Dikatatur,Diktatur,Diktatur,Diktatur
157348,Marokko,Nordamerika,WORD,Falafe,*Nordafrika,Nordafrika,Nordafrika,Nordafrika
299832,kapieren,verstehen,WORD,Verständnis,checken,checken,verstehen,checken
942,Engagement,Mithilfe,WORD,französisch,dabeisein,dabeisein,Dabeisein,Dabeisein
296406,WC,Urin,WORD,Toilette,igitt,igitt,Ekel,igitt
195706,Baltikum,Lettland,WORD,NA,Estalnd,Estland,Estland,Estland
306084,Einigkeit,drei,Gott,WORD,heilger Geist,Heiliger Geist,heiliger Geist,heiliger Geist
335704,Rucksack,Bergwanderung,olivgrün,WORD,Verschlussschnalle,Verschlussschnalle,Verschluss,Verschlussschnalle
327334,Chili,WORD,scharf,rot,con carne,Chili con Carne,Chili con Carne,con carne
70821,konstant,WORD,gleichbleibend,kontinuierlich,dauerhauft,dauerhaft,dauerhaft,dauerhaft
254170,Ahnung,Geist,WORD,Kenntnisse,Vorhersicht,Vorhersicht,Ahnung,Voraussicht
194601,gesamt,alles,total,WORD,konplett,komplett,komplett,komplett
372064,Verzeihung,WORD,Fehler,Verbrechen,entschudigung,Entschuldigung,Entschuldigung,Entschuldigung
388217,Finsternis,WORD,unheimlich,NA,sternenlos,sternenlos,Dunkelheit,sternenlos
102623,Wolkenkratzer,New York,WORD,hoch,Empire State Building,Empire State Building,Empire State Building,Empire State Building
148349,Durst,WORD,Wasser,Erfrischung,trinhen,trinken,trinken,trinken
240175,Erleichterung,WORD,NA,NA,Aufatmung,aufatmen,Aufatmung,Aufatmung
122014,Vergänglichkeit,WORD,Verlust,Trauer,"Tod, Leben, Vergessen werden",Tod,Tod,Tod
296115,Eifersucht,WORD,Vertrauen,Beziehung,Partner:innenschaft,Partnerschaft,Partnerinnenschaft,Partnerschaft
113403,Anorak,regen,WORD,rot,kaputze,Kapuze,Kapuze,Kapuze
97225,meinungslos,Trägheit,Interessenlos,WORD,Abstumpfung,Abstumpfung,Abstumpfung,Abstumpfung
80993,Serbien,Kosovo,Albanien,WORD,sasa stanicic,Saša Stanišić,sasa stanicic,Saša Staničić
385710,verschwommen,Brille,Augen,WORD,Sehrn,sehen,Sehen,Sehen
113213,Kopfkissen,Schlafen,Wissen,WORD,Zahnfeh,Zahnfee,Zahnfee,Zahnfee
13916,Menge,Meute,WORD,Menschen,Kiligramm,Kilogramm,Kilogramm,Kilogramm
170046,verifizieren,bestätigen,WORD,anerkennen,konfirmieren,konfirmieren,konfirmieren,konfirmieren
160458,präsentieren,WORD,Konferenzraum,NA,Präsentatiob,Präsentation,Präsentation,Präsentation
54194,Staat,WORD,Regierung,Politiker,abzocke,Abzocke,Abzocke,Abzocke
46704,Leiter,Physik,WORD,Vorgesetzter,Sprossenleiter,Sprossenleiter,Sprossenleiter,Sprossenleiter
286271,Skizze,WORD,Zeichnen,Bleistift,Zei hnen,zeichnen,Zeichnen,Zeichnen
158285,Lokführer,Mütze,WORD,Zug,Jungenstraum,Jugendtraum,Jungenstraum,Jungentraum
164921,Bekanntschaft,Beischlaf,WORD,Freund,Bekennerschreibe,Bekennerschreibe,Bekanntschaft,Bekanntschaft
345565,Relation,Gewichtung,WORD,Verhältnis,Abwagung,Abwägung,Abwägung,Abwägung
250881,Wohlbefinden,Gut,Zufriedenheit,WORD,Kuschelig,kuschelig,Kuschelig,Kuschelig
39714,bezeichnen,benennen,WORD,NA,Defintion,Definition,Definition,Definition
336337,zusagen,WORD,Ja,Hoffnung,Versperchen,Versprechen,Versprechen,Versprechen
177785,respektvoll,höflich,jemanden achten,WORD,Taikwando,Taekwondo,respektvoll,Taekwondo
59409,Geschlecht,männlich,weiblich,WORD,skrankheit,Geschlechtskrankheit,Geschlecht,Krankheit
136713,Barock,altmodisch,Style,WORD,stylistisch,stilistisch,stylistisch,stilistisch
248431,sehr,arg,WORD,doof,schln,schön,sehr,schlecht
399632,Computer,WORD,gut,schlecht,nützlivh,nützlich,nützlich,nützlich
290144,vorhin,zuvor,WORD,Vergangenheit,vorgegangenes,vergangenes,vorgegangen,Vorgegangenes
9489,Jude,WORD,Beschneidung,Drittes Reich,Bar Mizwa,Bar Mizwa,Bar Mitzwa,Bar Mizwa
385111,Bequemlichkeit,Ruhe,Gemütlichkeit,WORD,stressfrei,stressfrei,Bequemlichkeit,stressfrei
152992,exklusiv,Gold,glitzern,WORD,illustation,Illustation,Illustration,Illustration
46768,grundsätzlich,Politikerdeutsch,NA,WORD,sätzlich- bildlich,bildlich,satzlich,bildlich
104416,Synthesizer,Elektronische Musik,WORD,Verzerrung (Ton),Kraftwerk (Band),Kraftwerk,Kraftwerk,Kraftwerk (Band)
317561,Überzeugung,Translation,Google,WORD,Dolmentscher:in,Dolmetscher,Übersetzung,Dolmetscher:in
113802,Biochemie,Wissenschaft,WORD,NA,Chemic,chemic,Chemie,Chemie
385846,Priester,Kirche,WORD,Kutte,Zöllibat,Zölibat,Zölibat,Zölibat
349589,Vorlage,Papier,Bild,WORD,Anschaungsmaterial,Anschauungsmaterial,Vorlage,Anschaungsmaterial
181907,Versammlung,Meeting,WORD,Gruppe,Besprechemn,Besprechung,Besprechung,Besprechung
37730,Maß,Zahl,Bier,WORD,Enfernung,Entfernung,Entfernung,Entfernung
116083,Stil,Mode,Ästhetik,WORD,Frazu,Frau,"Frazu -> keine direkte Korrektur möglich Wahrscheinlich ist ""Frase"" oder ein ähnliches Wort gemeint, aber da ""Frazu"" nicht eindeutig einem deutschen Wort zugeordnet werden kann und es auch kein bekanntes deutsches Wort ist, müsste man es eigentlich als nicht korrigierbar einstufen. Allerdings könnte man es mit ""Phrase"" assoziieren und somit korrigieren. Korrigiert: Phrase",Frisur
150123,reichen,genug sein,WORD,NA,reich sek,reich sein,genug sein,reich sein
136418,Kroatien,Serbien,Belannte,WORD,Diese kleinen Dingsis (Chevapchichi),Cevapcici,Ćevapčići,Diese kleinen Dingsis (Cevapcici)
150072,Humanismus,WORD,John Locke,19.tes Jahrhundert,Transhumanisum,Transhumanismus,Transhumanismus,Transhumanismus
341960,Kessel,Kessel Buntes,WORD,Suppe,Einkesselung Kursk,Einkesselung Kursk,Einkesselung,Einkesselung Kursk
17423,Generation,WORD,Kinder,Oma,50+,50+,Generation,50+
17672,Vorteil,Nutzen,Nachteil,WORD,Eingenutz,Eigennutz,Nutzen,Eigennutzen
367617,Zugehörigkeit,WORD,Heimat,Volk,Famile,Familie,Familie,Familie
89556,Brettspiel,Schach,Dame,WORD,Mensch äerge dich nicht,Mensch ärgere dich nicht,"Mensch, ärgere dich nicht",Mensch ärgere dich nicht
328280,weil,Da,WORD,Begründen,Grubd,Grund,Da,Grund
310206,Redaktion,WORD,NA,NA,rédaction,rédaction,Redaktion,rédaction
146045,Schuh,gehen,Schuhgeschäft,WORD,viele schumodelle,Schuhmodelle,viele Schumodelle,viele Schuhmodelle
383465,Sahne,Süß,WORD,Weiß,cremig,cremig,cremig,cremig
399788,Kampf,Sport,WORD,Instinkt,Verteitigung,Verteidigung,Verteidigung,Verteidigung
67731,Zustimmung,Ja,Ablehnung,WORD,recth haben,recht haben,Recht haben,recht haben
291957,Mittagessen,Essen,WORD,Trinken,Z'mittag,Z'mittag,Zmittag,Zum Mittag
354732,Gemeinsamkeit,Partnerschaft,WORD,Verbindlichkeit,Seelenverwandte,Seelenverwandte,Seelenverwandtschaft,Seelenverwandte
298165,Schätzchen,Schatz,WORD,Sweetheart,mäusschen,Mäuschen,Schätzchen,Mäuschen
122304,Mainz,rheinisch gute Laune,Karneval,WORD,städte-rivalität,Städte-Rivalität,Städterivalität,Städterivalität
355253,einführen,anfangen,WORD,Geschlechtsverkehr,erlautern,erläutern,einführen,erläutern
214482,vorbei,aus,WORD,fahren,schön war's,schön war's,schön war's,schön war's
320320,zweiter,dritter,Podest,WORD,potenial,Potential,Potenzial,Potential
316715,Antike,WORD,Summit,alt,antique Shop,Antique Shop,antique Shop,antique Shop
249250,Henne,Ei,Hahn,WORD,Bauerhof,Bauernhof,Hof,Bauernhof
238766,Po,WORD,Italien,Backen,knackig,knackig,Knacken,WORD
102823,Justiz,Wahrheit,Waage,WORD,Gerechtigkeizt,Gerechhtigkeit,Gerechtigkeit,Gerechtigkeit
149534,Gitarre,Spanien,Liedbegleitung,WORD,Juan Diego Florez,Juan Diego Florez,WORD,Juan Diego Florez
398046,Kunde,König,WORD,Wunsch,ezahlt,bezahlt,bezahlt,bezahlt
350333,Apotheke,Medizin,WORD,Warteschlange,Apotherker,Apotheker,Apotheker,Apotheker
193718,Massage,rücken,haut,WORD,habd,Hand,Haut,Hand
160829,akribisch,Korintenkakker,WORD,zu genau,Kleingiester,Kleingeister,Kleingeister,Kleinigkeiten
107401,winken,Ade,Mainzelmännchen,WORD,aufwiedersehen,auf Wiedersehen,Auf Wiedersehen,Auf Wiedersehen
76782,Benennung,Wort,WORD,Sprache,Diagnostikverfahren,Diagnostikverfahren,Benennung,Diagnostikverfahren
342634,wahnsinnig,intelligent,WORD,spannend,gutaussehend,gutaussehend,attraktiv,gutaussehend
75061,positionieren,Stellung nehmen,WORD,Entscheidung,Klarkeit,Klarheit,Klarheit,Klarheit
321188,herausfinden,forschen,suchen,WORD,enträtseln,enträtseln,enträtseln,enträtseln
373955,schlichten,streit,WORD,Arbeitskampf,komtrahenten,Kontrahenten,Konflikten,Kontrahenten
10413,übernehmen,WORD,negativ,Überschätzung,zuviel,zu viel,zuviel -> übernehmen: überfordern oder 'zuviel' ist hier passend zu 'übernehmen' -> annehmen oder 'zuviel' -> 'übernehmen' passt 'annehmen' aber es gibt 'übernehmen' -> 'übernehmen' ; 'zuviel' -> übernehmen; über; über-; übernehmen; übernehm; übern; 'zuviel' passt am besten: übernehmen,zu viel
160235,Besonderheit,WORD,Egoismus,Individuum,herausstechen,herausstechen,Herausragend,herausstechen
137340,Bankkaufmann,oje...BWL,Anzug,WORD,"langweilig, komisch,",langweilig,"langweilig, komisch","langweilig, komisch,"
222166,aufgeben,WORD,NA,NA,gibts nicht,gibt's nicht,aufgeben,gibt's nicht
141462,Haut,Organ,WORD,Pflege,empfindlic,empfindlich,empfindlich,empfindlich
342494,Strick,Galgen,Knoten,WORD,(Boots-)Führerschein,Bootsführerschein,Führerschein,Bootsführerschein
184165,Schwimmbad,WORD,Menschen,Sommer,chlorgeruch,Chlorgeruch,Chlorgeruch,Chlorgeruch
224910,Kino,Film,Tarantino,WORD,Pulp fiction,Pulp fiction,Pulp Fiction,Pulp Fiction
123700,Trompete,Laut,WORD,Posaune,trööt,trööt,Tröten,tööt
242285,Jugendliche,Pubertät,Slang,WORD,das Erwachsenwerden,das Erwachsenwerden,Adoleszenz,das Erwachsenwerden
374921,Umfrage,WORD,Auswertung,Signifikanz,studiepark,Studiepark,Studie,Studienpark
195747,verwirklichen,Umsetzen,Traum,WORD,Plan /Idee,Plan,Plan/Idee,Plan
21620,hierfür,dafür,wofür,WORD,wobie,wobei,dafür,wobei
181517,gewiss,sicher,WORD,selbstsicher,betimmt,bestimmt,bestimmt,bestimmt
244984,Balkon,Pflanzen,Gepn,WORD,"Grün (2.Wort), Geländer",Geländer,Geländer,Grün
157104,Schlagzeug,Musik,laut,WORD,rhitmus,Rhythmus,Rhythmus,Rhythmus
281133,Sheriff,Stern,Mann,WORD,Law and Order,Law and Order,Law and Order,Law and Order
351979,nochmal,Wiederholung,WORD,ein weiteres Mal,immerwieder,immer wieder,ein weiteres Mal,immer wieder
25396,einigen,komprmisse,WORD,vertragen,debatieren,debattieren,vereinigen,debattieren
394139,Berührung,schön,WORD,gemeinsam,vertraur,vertrauen,Vertraut,Vertrauen
8785,haben,WORD,verlieren,habm,bestizen,besitzen,besitzen,besitzen
32300,verschieden,anders,WORD,auffällig,herausstechend,herausstechend,auffällig,herausstechend
19831,Differenzierung,Unterscheidung,WORD,Teilung,Zweiseitigkeit,Zweiseitigkeit,Zweiseitigkeit,Zweiseitigkeit
311532,fort,WORD,niewieder,trauer,wge,weg,Wort,weg
364501,DHL,WORD,Pakete,NA,ojeh,ohje,ojeh,Logistik
16345,Partner,WORD,Ehe,Wohnen,Gatte/ Gattin,Gatte,Gatte/Gattin,Gatte/ Gattin
136419,Signal,Main screen,Turn on,WORD,All your Base are belong to US,All your base are belong to us,"All your Base are belong to US -> keine Korrektur nötig, aber da es ein bekannter Satz ist, der oft als Beispiel für schlechtes Englisch verwendet wird, könnte man argumentieren, dass die korrigierte Version ""All your bases are belong to us"" wäre, aber nach den Regeln bleibt es ""All your Base are belong to US"" Die korrigierte Response ist: All your Base are belong to US",All your base are belong to us
183746,Seife,Waschen,Galle,WORD,wohlduftend,wohlduftend,duftend,wohlduftend
394010,Tabak,Rauchen,Lungenkrebs,WORD,Coffee and cigarettes,coffee and cigarettes,Kaffee und Zigaretten,Coffee and cigarettes
121034,herrschen,WORD,Besitzen,Entscheiden,Diktaktur,Diktatur,Diktatur,Diktatur
162988,Dill,Kräuter,Fisch,WORD,igitt,igitt,igitt,igitt
307109,auswählen,priorisieren,WORD,entscheiden,auserkohren,auserkoren,auserwählen,auserkoren
88946,stagnieren,Stillstand,WORD,Zwangspause,Unbeweglichkeit,Unbeweglichkeit,Stillstand,Unbeweglichkeit
143051,Benzol,WORD,Chemie,Gemisch,bezin,Benzin,Benzin,Benzin
258906,ruhig,Person,WORD,lautlos,Chrakter,Charakter,Charakter,Charakter
106650,Canapé,Sofa,WORD,Erholung,Brothappen,Brothappen,Canapé,Brot-Happen
291578,hilfsbereit,Menschen,Gute Eigenschaft,WORD,Spital/Pflegeberufe,Spital,Pflegeberufe,Spital
305106,Sonnenuntergang,orange,WORD,Abend,scshön,schön,schön,schön
324018,Ausbeutung,Sklaven,WORD,ungerecht,Minderbezahlung,Minderbezahlung,Ausbeutung,Minderbezahlung
286657,Story,WORD,Instagram,Geschichte,long Story short,long story short,Kurz und knapp,long story short
351477,Winkel,WORD,Kringwinkel (Laden),Werkzeug,90°,90°,90 Grad,90°
208050,ablehnen,Schmerzen,WORD,Angst,Furstartion,Frustration,Frustration,Frustration
150292,Prinz,Adel,Königshaus,WORD,männnlich,männlich,männlich,männlich
70071,Hebel,WORD,Gewicht,Hebelwirkung,Terassentüre,Terrassentüre,Hebel,Terrassentür
135868,Fenchel,Tee,WORD,Rezept,retept,Rezept,Rezept,Rezept
158231,Harfe,Musikinstrument,WORD,nervig,Dr. Amy Farrah Fowler,Dr. Amy Farrah Fowler,Dr. Amy Farrah Fowler,Dr. Amy Farrah Fowler
335667,WC,Toilette,Urinal,WORD,Scheißhaus,Scheißhaus,Toilette,Scheißhaus
32312,Titel,Thesen tempramente,Doktor,WORD,proffessor,Professor,Professor,Professor
395642,schwach,WORD,trainieren,besser werden,Schüler*in,Schüler,Schwäche,Schüler*in
174810,Lärm,nervig,WORD,Fußball,Konzentrationsprobläme,Konzentrationsprobleme,Konzentrationsprobleme,Konzentrationsprobleme
313237,fad,Suppe,WORD,Salz,langweillig,langweilig,langweilig,langweilig
305897,Glückwunsch,Gratulation,WORD,Erfolg,Gebirtstag,Geburtstag,Geburtstag,Geburtstag
258001,atmen,Lunge,Sauerstoff,WORD,Überlebenswichtig,überlebenswichtig,Überlebenswichtig,Überlebenswichtig
276686,Atom,WORD,Neuron,Proton,big bang,Big Bang,Big Bang,Big Bang
394720,Spinne,igittegitt,spinnen am Abend ist Quickend und labend.,WORD,Spinweb,Spinn­web,Spinwebe,Spinnennetz
176840,rufen,WORD,Hilfe,Hallo,Wüste (Rufer in der ...),Wüste,Rufer,Wüste
345480,damalig,Vergangenheit,WORD,Eltern,fruher,früher,früher,früher
143075,weglaufen,davonrennen,türmen,WORD,fleihen,fliehen,fliehen,fliehen
50136,eng,breit,lang,WORD,ausgewält,ausgewählt,englisch,ausgewählt
134784,Bleistift,Radiergummi,WORD,schule,kugellschreiber,Kugelschreiber,kugelschreiber,Kugelschreiber
104730,Gauß,Mathematik,WORD,Magdeburg,Verteilkurven,Verteilkurven,Verteilungskurve,Verteilkurven
367709,Wellness,WORD,Hygge,Entspannung,Spahotel,Spa-Hotel,Spahotel,Spahotel
282239,Sonnenbrille,WORD,Sommer,Optiker,Gorilla mit der Sonnenbrille (Kinderlied),Gorilla mit der Sonnenbrille,Gorilla mit der Sonnenbrille,Gorilla mit der Sonnenbrille (Kinderlied)
395893,uneigentlich,WORD,NA,NA,gibt es das Wort eigenlich,gibt es das Wort eigentlich,uneigentlich,gibt es das Wort eigentlich
182674,untereinander,stapel,oginization,WORD,hierchy,hierarchy,Hierarchie,Hierarchie
4782,abhängig,Drogen,WORD,Rauschgift,crystal meth,crystal meth,Drogen,crystal meth
151496,Souvenir,Made in China,WORD,billig,unbrachbar,unbrauchbar,unbrauchbar,unbrachbar
314629,beinhalten,Kreis,WORD,fassen,angehoren,angehören,enthalten,angehören
259005,Küste,Meer,WORD,Freiheit,Möbe,Möwe,Möbe -> Möbel,Möwe
91897,Egoist,Neoliberalismus,Ayn Rand,WORD,Nutzensmaximierung,Nutzenmaximierung,Nutzensmaximierung,Nutzmaximierung
396099,zuhören,Aufmerksamkeit,WORD,Augenkontakt,Zugewandheit,Zugewandtheit,Zugewandtheit,Zugewandtheit
122257,erblicken,entdecken,WORD,Moment,plötztlich,plötzlich,plötzlich,plötzlich
157435,Schlittschuh,Spezialschuh mit Kufen um auf dem Eis zu fahren,Eishockey,WORD,Art on ICE,Art on Ice,Eishockey,Kunstlauf
378497,Kalorien,Fettmacher,essen,WORD,Krankmacher,Krankmacher,Krankmacher,Krankmacher
293844,Eiffelturm,Paris,WORD,hoch,Tourist*innen,Tourist,Touristen,Tourist*innen
168805,Zepter,König,Kaiser,WORD,Zeremoniel,Zeremonie,Zeremonie,Zeremonie
295,Martin,Name,WORD,Martinskirche,Heilige Sant Martin,Heilige Sankt Martin,Heiliger Sankt Martin,Heiliger Sankt Martin
100819,meinungslos,WORD,egal,unbestimmt,stimmungsmachend,stimmungsmachend,gleichgültig,stimmungsmachend
216620,Pech,Unglück,WORD,Hilfe,Frau Holle,Frau Holle,Frau Holle,WORD
73377,Gin,Tonic,England,WORD,Coctail,Cocktail,Cocktail,Cocktail
46371,Hälfte,hunger,WORD,fehlt was,5o %,50%,50 %,50 %
94261,Lachs,WORD,Farbe,geräuchert,Meinl am Graben,Julius Meinl am Graben,Meinl am Graben,Meinl am Graben
230183,Erdbeben,Richterskala,WORD,Tsunami,rauslaufen,rauslaufen,evakuieren,nachbeben
392797,erzielen,erreichen,bewirken,WORD,hinstreben,hinstreben,hinstreben,hinstreben
114185,Salpetersäure,WORD,Essigsäure,Salz,Salezyt,Salezyt,Salpetersäure,Säure
